iteration,start_iso,end_iso,exit_code,reason,log,prompt,diff,status_file
1,2026-04-30T00:25:43+02:00,2026-04-30T00:29:13+02:00,0,exit,artifacts/task6/autonight/20260430-002543-task6-codex-night/logs/iter-001.log,artifacts/task6/autonight/20260430-002543-task6-codex-night/prompts/iter-001.md,artifacts/task6/autonight/20260430-002543-task6-codex-night/diffs/iter-001.patch,artifacts/task6/autonight/20260430-002543-task6-codex-night/status/iter-001.status.txt
2,2026-04-30T00:29:33+02:00,2026-04-30T00:34:33+02:00,0,exit,artifacts/task6/autonight/20260430-002543-task6-codex-night/logs/iter-002.log,artifacts/task6/autonight/20260430-002543-task6-codex-night/prompts/iter-002.md,artifacts/task6/autonight/20260430-002543-task6-codex-night/diffs/iter-002.patch,artifacts/task6/autonight/20260430-002543-task6-codex-night/status/iter-002.status.txt
3,2026-04-30T00:44:33+02:00,2026-04-30T00:50:03+02:00,0,exit,artifacts/task6/autonight/20260430-002543-task6-codex-night/logs/iter-003.log,artifacts/task6/autonight/20260430-002543-task6-codex-night/prompts/iter-003.md,artifacts/task6/autonight/20260430-002543-task6-codex-night/diffs/iter-003.patch,artifacts/task6/autonight/20260430-002543-task6-codex-night/status/iter-003.status.txt
4,2026-04-30T01:00:04+02:00,2026-04-30T01:05:04+02:00,0,exit,artifacts/task6/autonight/20260430-002543-task6-codex-night/logs/iter-004.log,artifacts/task6/autonight/20260430-002543-task6-codex-night/prompts/iter-004.md,artifacts/task6/autonight/20260430-002543-task6-codex-night/diffs/iter-004.patch,artifacts/task6/autonight/20260430-002543-task6-codex-night/status/iter-004.status.txt
5,2026-04-30T01:15:04+02:00,2026-04-30T01:20:34+02:00,0,exit,artifacts/task6/autonight/20260430-002543-task6-codex-night/logs/iter-005.log,artifacts/task6/autonight/20260430-002543-task6-codex-night/prompts/iter-005.md,artifacts/task6/autonight/20260430-002543-task6-codex-night/diffs/iter-005.patch,artifacts/task6/autonight/20260430-002543-task6-codex-night/status/iter-005.status.txt
6,2026-04-30T01:30:34+02:00,2026-04-30T01:34:34+02:00,0,exit,artifacts/task6/autonight/20260430-002543-task6-codex-night/logs/iter-006.log,artifacts/task6/autonight/20260430-002543-task6-codex-night/prompts/iter-006.md,artifacts/task6/autonight/20260430-002543-task6-codex-night/diffs/iter-006.patch,artifacts/task6/autonight/20260430-002543-task6-codex-night/status/iter-006.status.txt
7,2026-04-30T01:44:34+02:00,2026-04-30T01:48:04+02:00,0,exit,artifacts/task6/autonight/20260430-002543-task6-codex-night/logs/iter-007.log,artifacts/task6/autonight/20260430-002543-task6-codex-night/prompts/iter-007.md,artifacts/task6/autonight/20260430-002543-task6-codex-night/diffs/iter-007.patch,artifacts/task6/autonight/20260430-002543-task6-codex-night/status/iter-007.status.txt
8,2026-04-30T01:58:04+02:00,2026-04-30T02:02:34+02:00,0,exit,artifacts/task6/autonight/20260430-002543-task6-codex-night/logs/iter-008.log,artifacts/task6/autonight/20260430-002543-task6-codex-night/prompts/iter-008.md,artifacts/task6/autonight/20260430-002543-task6-codex-night/diffs/iter-008.patch,artifacts/task6/autonight/20260430-002543-task6-codex-night/status/iter-008.status.txt
9,2026-04-30T02:12:34+02:00,2026-04-30T02:15:34+02:00,0,exit,artifacts/task6/autonight/20260430-002543-task6-codex-night/logs/iter-009.log,artifacts/task6/autonight/20260430-002543-task6-codex-night/prompts/iter-009.md,artifacts/task6/autonight/20260430-002543-task6-codex-night/diffs/iter-009.patch,artifacts/task6/autonight/20260430-002543-task6-codex-night/status/iter-009.status.txt
10,2026-04-30T02:25:34+02:00,2026-04-30T02:31:34+02:00,0,exit,artifacts/task6/autonight/20260430-002543-task6-codex-night/logs/iter-010.log,artifacts/task6/autonight/20260430-002543-task6-codex-night/prompts/iter-010.md,artifacts/task6/autonight/20260430-002543-task6-codex-night/diffs/iter-010.patch,artifacts/task6/autonight/20260430-002543-task6-codex-night/status/iter-010.status.txt
