artifact,model_label,module_name,quantization,weight_numel,weight_value_storage_bytes,scale_storage_bytes,total_weight_storage_bytes,scale,max_abs_error,mean_abs_error,rmse,normalized_rmse,signal_max_abs,signal_mean_abs,verdict
l2-v1k-c_fc,tiny-stories-v1k-h64-l1,transformer.h.0.mlp.c_fc,int8-per-tensor-symmetric,16384,16384,4,16388,0.0005978438563234224,0.004583231607186877,0.0011025180618795898,0.0013966706918271874,0.00991205971471401,0.38926950097084045,0.11327259177363658,pass
l2-v1k-c_fc,tiny-stories-v1k-h64-l1,transformer.h.0.mlp.c_fc,int8-per-output-symmetric,16384,16384,1024,17408,min=0.00026671917;max=0.000597843856;count=256,0.002483899074624721,0.0007519128228484972,0.0009241607810246921,0.006558694831298795,0.38926950097084045,0.11327259177363658,pass
l2-v1k-c_fc,tiny-stories-v1k-h64-l1,transformer.h.0.mlp.c_fc,int4-per-tensor-symmetric,16384,8192,4,8196,0.010846595679010664,0.06138677942028224,0.018106467314968084,0.02254412245351671,0.15999382623454628,0.38926950097084045,0.11327259177363658,fail
l2-v1k-c_fc,tiny-stories-v1k-h64-l1,transformer.h.0.mlp.c_fc,int4-per-output-symmetric,16384,8192,1024,9216,min=0.00483904779;max=0.0108465957;count=256,0.05257379448942068,0.013908429462686321,0.017280926453694497,0.12264134698102108,0.38926950097084045,0.11327259177363658,fail
l2-v1k-c_proj,tiny-stories-v1k-h64-l1,transformer.h.0.mlp.c_proj,int8-per-tensor-symmetric,16384,16384,4,16388,0.0006334623248558345,0.0004923202379990485,0.00015998169044565685,0.00020649521796992025,0.008807758330162872,0.07794594764709473,0.01680324105359432,pass
l2-v1k-c_proj,tiny-stories-v1k-h64-l1,transformer.h.0.mlp.c_proj,int8-per-output-symmetric,16384,16384,256,16640,min=0.000404058244;max=0.000633462325;count=64,0.00036018251354807994,0.0001251442318865017,0.00015554626036314118,0.006634603376813825,0.07794594764709473,0.01680324105359432,pass
l2-v1k-c_proj,tiny-stories-v1k-h64-l1,transformer.h.0.mlp.c_proj,int4-per-tensor-symmetric,16384,8192,4,8196,0.011492816465241569,0.010361463962729274,0.0035073937607282687,0.0043545664352682405,0.18573780628696415,0.07794594764709473,0.01680324105359432,fail
l2-v1k-c_proj,tiny-stories-v1k-h64-l1,transformer.h.0.mlp.c_proj,int4-per-output-symmetric,16384,8192,256,8448,min=0.007330771;max=0.0114928165;count=64,0.005687408588077467,0.002116989799639878,0.002614866311134812,0.11153338445597707,0.07794594764709473,0.01680324105359432,fail
l2-v4k-c_fc,tiny-stories-v4k-h64-l1,transformer.h.0.mlp.c_fc,int8-per-tensor-symmetric,16384,16384,4,16388,0.0006874279361071549,0.00458134586518405,0.001265364622698092,0.0015628508528075793,0.00969298505105291,0.5325390100479126,0.12669943166110897,pass
l2-v4k-c_fc,tiny-stories-v4k-h64-l1,transformer.h.0.mlp.c_fc,int8-per-output-symmetric,16384,16384,1024,17408,min=0.000248598507;max=0.000687427936;count=256,0.003239161853000286,0.0007423212161440896,0.0009428109236314491,0.005847424386218247,0.5325390100479126,0.12669943166110897,pass
l2-v4k-c_fc,tiny-stories-v4k-h64-l1,transformer.h.0.mlp.c_fc,int4-per-tensor-symmetric,16384,8192,4,8196,0.012471906840801239,0.08332773642712252,0.022070505569300493,0.027524795852329097,0.1707120255593306,0.5325390100479126,0.12669943166110897,fail
l2-v4k-c_fc,tiny-stories-v4k-h64-l1,transformer.h.0.mlp.c_fc,int4-per-output-symmetric,16384,8192,1024,9216,min=0.0045102872;max=0.0124719068;count=256,0.057635035842219684,0.013137606773981432,0.016802388992026917,0.10421039539960832,0.5325390100479126,0.12669943166110897,fail
l2-v4k-c_proj,tiny-stories-v4k-h64-l1,transformer.h.0.mlp.c_proj,int8-per-tensor-symmetric,16384,16384,4,16388,0.0006005592116220729,0.0005036034375722823,0.00018108209091423661,0.00021747779202656168,0.009163747217666305,0.06923376768827438,0.019637645433249418,pass
l2-v4k-c_proj,tiny-stories-v4k-h64-l1,transformer.h.0.mlp.c_proj,int8-per-output-symmetric,16384,16384,256,16640,min=0.000369595466;max=0.000600559212;count=64,0.00045073019709513523,0.00013888565420750346,0.00017471074755448022,0.0073616947821652946,0.06923376768827438,0.019637645433249418,pass
l2-v4k-c_proj,tiny-stories-v4k-h64-l1,transformer.h.0.mlp.c_proj,int4-per-tensor-symmetric,16384,8192,4,8196,0.01089585998228618,0.012851210828156814,0.003381127732084997,0.004164688473528124,0.17548528544504946,0.06923376768827438,0.019637645433249418,fail
l2-v4k-c_proj,tiny-stories-v4k-h64-l1,transformer.h.0.mlp.c_proj,int4-per-output-symmetric,16384,8192,256,8448,min=0.00670551775;max=0.01089586;count=64,0.00807747742798694,0.0025773824458053094,0.0032206838007247038,0.13570825757817748,0.06923376768827438,0.019637645433249418,fail
