pid	name	cmdline
371472	nix	nix build .#tiny-stories-1m-baseline-float-selftest-top4-memory-utilization --no-link --print-out-paths -L
371474	tee	tee artifacts/task6/runs/2026-04-26T22-24-33+0200-baseline-top4-memory-utilization-stage6a-batch2/build.log
371606	bash	bash -e /nix/store/v6x3cs394jgqfbi0a42pam708flxaphh-default-builder.sh
371663	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
372115	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
372522	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
372936	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
373349	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
373754	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
374160	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
374662	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
375046	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
375439	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
375924	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
376334	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
376714	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
377165	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
377557	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
377944	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
378399	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
378795	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
379183	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
379637	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
380033	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
380413	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
380813	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
381207	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
381591	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
382050	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
382495	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
383583	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
384185	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
384801	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
385636	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
386097	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
387599	.yosys-wrapped	/nix/store/rv3cx4lj18kknx80sslx3q7dq2zd90km-yosys-with-plugins-0.64/bin/yosys -q -s run.ys
